City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,flying fish cove,-10.4217,105.6791,27.02,79,95,6.05,CX,1682365724
112,ribeira grande,38.5167,-28.7,18.22,88,20,4.92,PT,1682365872
113,eyl,7.9803,49.8164,28.51,76,76,6.05,SO,1682365873
114,lihue,21.9789,-159.3672,24.85,81,20,2.06,US,1682365873
115,kerikeri,-35.2268,173.9474,11.34,77,0,1.22,NZ,1682365776
116,uray,60.1247,64.7758,1.64,58,99,1.15,RU,1682365873
117,robertsport,6.7533,-11.3686,28.52,80,51,3.94,LR,1682365874
118,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,69,40,1.0,RU,1682365874
119,toliara,-23.35,43.6667,21.91,84,0,2.84,MG,1682365874
120,kralendijk,12.15,-68.2667,29.99,66,40,2.06,BQ,1682365874
121,manadhoo,5.7667,73.3833,29.32,67,100,2.32,MV,1682365874
122,hamilton,39.1834,-84.5333,10.69,46,100,3.09,US,1682365188
123,ploudalmezeau,48.5333,-4.65,10.71,76,40,2.06,FR,1682365875
124,laojunmiao,39.8333,97.7333,5.66,31,0,2.06,CN,1682365875
125,san pedro de lloc,-7.4328,-79.5058,26.43,68,100,5.37,PE,1682365875
126,st. john's,47.5649,-52.7093,4.32,94,100,8.75,CA,1682365058
127,port alfred,-33.5906,26.891,20.1,92,100,1.34,ZA,1682365875
128,ketchikan,55.3422,-131.6461,8.26,71,100,6.69,US,1682365876
129,vicuna,-30.0319,-70.7081,13.85,34,0,3.4,CL,1682365876
130,margaret river,-33.95,115.0667,12.96,78,100,7.69,AU,1682365876
131,statesboro,32.4488,-81.7832,24.89,33,0,2.57,US,1682365352
132,marsh harbour,26.5412,-77.0636,24.52,72,57,4.25,BS,1682365876
133,polyarnyy,69.1989,33.4478,-6.94,83,9,4.15,RU,1682365713
134,buala,-8.145,159.5921,26.42,85,100,0.79,SB,1682365876
135,georgetown,5.4112,100.3354,25.97,94,20,1.54,MY,1682365658
136,albany,42.6001,-73.9662,12.54,54,85,0.89,US,1682365818
137,lompoc,34.6391,-120.4579,24.27,67,20,7.2,US,1682365877
138,sirte,31.2089,16.5887,17.19,80,89,2.64,LY,1682365877
139,nova sintra,14.8667,-24.7167,20.23,75,2,8.79,CV,1682365675
140,kuala perlis,6.4,100.1333,26.99,89,100,3.3,MY,1682365877
141,sisimiut,66.9395,-53.6735,1.36,97,100,1.66,GL,1682365878
142,shiqian,27.5225,108.2281,8.97,96,100,0.59,CN,1682365878
143,ziro,27.6333,93.8333,8.13,92,11,0.95,IN,1682365878
144,gaspe,48.8334,-64.4819,3.12,87,100,3.6,CA,1682365878
145,limbazi,57.5129,24.7194,13.34,95,97,0.99,LV,1682365879
146,vila franca do campo,37.7167,-25.4333,18.23,94,100,3.46,PT,1682365879
147,mozhga,56.4447,52.2276,10.95,56,0,3.02,RU,1682365879
148,awjilah,29.1081,21.2869,25.93,27,97,6.32,LY,1682365879
149,cabo san lucas,22.8909,-109.9124,29.78,51,81,4.9,MX,1682365879
150,hirara,24.8,125.2833,23.15,83,100,1.54,JP,1682365879
151,san francisco de la paz,14.9,-86.2,35.84,20,64,1.54,HN,1682365880
152,iqaluit,63.7506,-68.5145,-0.15,100,100,2.57,CA,1682365643
153,utrik,11.2278,169.8474,26.77,83,90,9.46,MH,1682365880
154,cole harbour,44.6724,-63.4751,11.77,77,100,6.71,CA,1682365880
155,iskateley,67.6803,53.1512,-5.81,92,100,2.41,RU,1682365626
156,yuktae-dong,40.0247,128.1597,7.68,64,100,1.51,KP,1682365881
157,sola,-13.8833,167.55,27.41,75,73,5.36,VU,1682365881
158,muroto-misakicho,33.2833,134.15,11.87,73,100,6.9,JP,1682365881
159,bandundu,-3.3167,17.3667,24.99,79,100,0.5,CD,1682365881
160,tolanaro,-25.0319,46.9987,23.04,88,75,2.06,MG,1682365881
161,fale old settlement,-9.3852,-171.2468,28.68,74,72,3.4,TK,1682365881
162,sampit,-2.5333,112.95,23.08,99,100,0.8,ID,1682365882
163,labrador city,52.9463,-66.9114,8.95,46,0,3.6,CA,1682365882
164,south hedland,-20.4089,118.5983,23.96,94,100,2.06,AU,1682365882
165,nuku'alofa,-21.1333,-175.2,20.19,100,40,1.03,TO,1682365882
166,sirre,8.3167,39.4833,18.39,66,99,3.68,ET,1682365882
167,plettenberg bay,-34.0527,23.3716,17.47,91,99,2.93,ZA,1682365883
168,weligama,5.9667,80.4167,26.12,87,100,1.39,LK,1682365883
169,tsiombe,-25.3,45.4833,19.87,87,0,1.75,MG,1682365883
170,dawukou,39.0419,106.3958,8.66,60,31,1.68,CN,1682365883
171,puerto ayora,-0.7393,-90.3518,29.98,85,100,3.58,EC,1682365883
172,holualoa,19.6228,-155.9522,25.86,72,0,3.6,US,1682365883
173,boende,-0.2167,20.8667,22.01,84,99,1.18,CD,1682365884
174,betio village,1.358,172.9211,28.02,79,100,5.82,KI,1682365884
175,santana,-0.0583,-51.1817,31.1,74,20,4.63,BR,1682365726
176,korkuteli,37.065,30.1957,9.7,75,4,0.26,TR,1682365884
177,vilyuchinsk,52.9306,158.4028,1.15,79,54,3.06,RU,1682365884
178,bredasdorp,-34.5322,20.0403,16.28,77,0,4.33,ZA,1682365885
179,hithadhoo,-0.6,73.0833,28.99,74,99,3.86,MV,1682365885
180,praia,14.9215,-23.5087,25.3,65,20,8.23,CV,1682365816
181,shimoda,34.6667,138.95,10.61,71,52,5.25,JP,1682365885
182,les cayes,18.2,-73.75,28.69,55,9,3.82,HT,1682365885
183,invercargill,-46.4,168.35,11.68,82,87,0.89,NZ,1682365885
184,banda aceh,5.5577,95.3222,26.96,78,100,1.97,ID,1682365886
185,xilin hot,43.9667,116.0333,-0.38,62,100,8.65,CN,1682365886
186,tver,56.8619,35.8931,10.87,61,11,2.71,RU,1682365886
187,mundra,22.85,69.7333,27.69,54,99,5.84,IN,1682365886
188,luquillo,18.3725,-65.7166,29.07,69,75,5.66,PR,1682365886
189,howard springs,-12.497,131.047,25.95,80,60,3.0,AU,1682365886
190,smolensk,55.0,33.0,10.66,70,29,3.04,RU,1682365887
191,weno,7.4515,151.8468,26.97,89,100,0.0,FM,1682365887
192,stanley,54.868,-1.6985,4.18,71,20,3.6,GB,1682365634
193,antonio enes,-16.2325,39.9086,24.22,77,6,3.55,MZ,1682365888
194,casablanca,33.5928,-7.6192,21.12,77,0,3.09,MA,1682365888
195,dabou,5.3256,-4.3769,27.62,84,82,4.1,CI,1682365888
196,watsa,3.0372,29.5355,18.8,87,29,1.59,CD,1682365888
197,tralee,52.2704,-9.7026,5.34,78,13,2.37,IE,1682365888
198,shakawe,-18.3667,21.85,25.95,31,66,2.02,BW,1682365888
199,mount isa,-20.7333,139.5,20.87,46,12,2.57,AU,1682365772
200,merrill,45.1805,-89.6835,7.6,52,100,0.0,US,1682365889
201,cannonvale,-20.2833,148.7,24.66,72,99,9.98,AU,1682365889
202,codo,-4.4553,-43.8856,28.28,69,92,1.05,BR,1682365889
203,fada,9.5667,8.3,25.02,47,93,1.91,NG,1682365890
204,saipan,15.1355,145.701,27.39,100,75,6.17,MP,1682365694
205,miranda,3.2499,-76.2281,27.07,53,100,1.03,CO,1682365890
206,nogliki,51.8333,143.1667,-1.32,81,100,5.21,RU,1682365884
207,kittila,67.6647,24.8936,-0.92,55,0,2.57,FI,1682365890
208,olonkinbyen,70.9221,-8.7187,-4.02,83,91,7.92,SJ,1682365673
209,sechura,-5.5569,-80.8222,28.64,63,100,4.89,PE,1682365891
210,el nido,11.1858,119.3956,27.17,78,24,1.19,PH,1682365891
211,sarangani,5.4033,125.4636,28.61,76,100,6.73,PH,1682365891
212,alvorada,-12.48,-49.1247,30.3,49,21,2.54,BR,1682365891
213,newman,37.3138,-121.0208,25.13,41,17,0.89,US,1682365891
214,nar'yan-mar,67.6713,53.087,-5.76,92,100,2.37,RU,1682365892
215,kourou,5.1552,-52.6478,24.03,96,100,2.75,GF,1682365892
216,tual,-5.6667,132.75,28.11,73,20,1.23,ID,1682365892
217,yeniseysk,58.4497,92.1703,1.35,93,97,2.06,RU,1682365892
218,richards bay,-28.783,32.0377,22.39,74,100,4.79,ZA,1682365892
